timestamp,lot_name,occupied_spots,available_spots,total_capacity
2026-02-02 20:00,Haley_Deck,1,1,2
2026-02-02 20:05,Stadium_Deck,3,1,4
2026-02-02 20:05,Athletics_Deck,1,3,4
2026-02-02 20:05,Haley_Deck,1,1,2
2026-02-02 20:10,Stadium_Deck,3,1,4
2026-02-02 20:10,Athletics_Deck,1,3,4
2026-02-02 20:10,Haley_Deck,1,1,2
2026-02-02 20:15,Stadium_Deck,4,0,4
2026-02-02 20:15,Athletics_Deck,1,3,4
2026-02-02 20:15,Haley_Deck,1,1,2
2026-02-02 20:20,Stadium_Deck,3,1,4
2026-02-02 20:20,Athletics_Deck,1,3,4
2026-02-02 20:20,Haley_Deck,1,1,2
2026-02-02 20:25,Stadium_Deck,3,1,4
2026-02-02 20:25,Athletics_Deck,1,3,4
2026-02-02 20:25,Haley_Deck,1,1,2
2026-02-02 20:30,Stadium_Deck,3,1,4
2026-02-02 20:30,Athletics_Deck,1,3,4
2026-02-02 20:30,Haley_Deck,1,1,2
2026-02-02 20:35,Stadium_Deck,3,1,4
2026-02-02 20:35,Athletics_Deck,1,3,4
2026-02-02 20:35,Haley_Deck,1,1,2
2026-02-02 20:40,Stadium_Deck,4,0,4
2026-02-02 20:40,Athletics_Deck,1,3,4
2026-02-02 20:40,Haley_Deck,1,1,2
2026-02-02 20:45,Stadium_Deck,4,0,4
2026-02-02 20:45,Athletics_Deck,1,3,4
2026-02-02 20:45,Haley_Deck,1,1,2
2026-02-02 20:50,Stadium_Deck,4,0,4
2026-02-02 20:50,Athletics_Deck,1,3,4
2026-02-02 20:50,Haley_Deck,1,1,2
2026-02-02 20:55,Stadium_Deck,4,0,4
2026-02-02 20:55,Athletics_Deck,1,3,4
2026-02-02 20:55,Haley_Deck,1,1,2
2026-02-02 21:00,Stadium_Deck,4,0,4
2026-02-02 21:00,Athletics_Deck,1,3,4
2026-02-02 21:00,Haley_Deck,1,1,2
2026-02-02 21:05,Stadium_Deck,4,0,4
2026-02-02 21:05,Athletics_Deck,1,3,4
2026-02-02 21:05,Haley_Deck,1,1,2
2026-02-02 21:10,Stadium_Deck,4,0,4
2026-02-02 21:10,Athletics_Deck,1,3,4
2026-02-02 21:10,Haley_Deck,1,1,2
2026-02-02 21:15,Stadium_Deck,4,0,4
2026-02-02 21:15,Athletics_Deck,1,3,4
2026-02-02 21:15,Haley_Deck,1,1,2
2026-02-02 21:20,Stadium_Deck,4,0,4
2026-02-02 21:20,Athletics_Deck,1,3,4
2026-02-02 21:20,Haley_Deck,1,1,2
2026-02-02 21:25,Stadium_Deck,4,0,4
2026-02-02 21:25,Athletics_Deck,1,3,4
2026-02-02 21:25,Haley_Deck,1,1,2
2026-02-02 21:30,Stadium_Deck,4,0,4
2026-02-02 21:30,Athletics_Deck,1,3,4
